movieId,title,rating_count
2918,Ferris Bueller's Day Off (1986),23317
2329,American History X (1998),23309
2706,American Pie (1999),23301
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),23220
339,While You Were Sleeping (1995),23214
1208,Apocalypse Now (1979),23090
3114,Toy Story 2 (1999),22770
7361,Eternal Sunshine of the Spotless Mind (2004),22352
1393,Jerry Maguire (1996),22319
2,Jumanji (1995),22243
1387,Jaws (1975),22168
95,Broken Arrow (1996),22104
1517,Austin Powers: International Man of Mystery (1997),22074
141,Birdcage, The (1996),22020
4995,Beautiful Mind, A (2001),21931
1222,Full Metal Jacket (1987),21926
1307,When Harry Met Sally... (1989),21888
6874,Kill Bill: Vol. 1 (2003),21746
2987,Who Framed Roger Rabbit? (1988),21739
1784,As Good as It Gets (1997),21684
25,Leaving Las Vegas (1995),21553
2291,Edward Scissorhands (1990),21394
1610,Hunt for Red October, The (1990),21349
2115,Indiana Jones and the Temple of Doom (1984),21266
1968,Breakfast Club, The (1985),21158
1917,Armageddon (1998),21103
3147,Green Mile, The (1999),21080
19,Ace Ventura: When Nature Calls (1995),20938
36,Dead Man Walking (1995),20809
1259,Stand by Me (1986),20804
2916,Total Recall (1990),20791
1732,Big Lebowski, The (1998),20725
17,Sense and Sensibility (1995),20667
300,Quiz Show (1994),20601
1080,Monty Python's Life of Brian (1979),20557
1225,Amadeus (1984),20545
1246,Dead Poets Society (1989),20538
551,Nightmare Before Christmas, The (1993),20509
2355,Bug's Life, A (1998),20465
58559,Dark Knight, The (2008),20438
1101,Top Gun (1986),20338
2502,Office Space (1999),20328
5418,Bourne Identity, The (2002),20091
2174,Beetlejuice (1988),19988
8961,Incredibles, The (2004),19890
1584,Contact (1997),19874
1220,Blues Brothers, The (1980),19824
2012,Back to the Future Part III (1990),19724
1079,Fish Called Wanda, A (1988),19674
1219,Psycho (1960),19649
2797,Big (1988),19506
508,Philadelphia (1993),19489
4027,O Brother, Where Art Thou? (2000),19459
2011,Back to the Future Part II (1989),19446
62,Mr. Holland's Opus (1995),19381
1356,Star Trek: First Contact (1996),19324
440,Dave (1993),19297
2710,Blair Witch Project, The (1999),19111
4022,Cast Away (2000),18913
2791,Airplane! (1980),18866
474,In the Line of Fire (1993),18836
788,Nutty Professor, The (1996),18799
4878,Donnie Darko (2001),18731
33794,Batman Begins (2005),18686
7438,Kill Bill: Vol. 2 (2004),18684
410,Addams Family Values (1993),18618
1653,Gattaca (1997),18573
1573,Face/Off (1997),18460
3897,Almost Famous (2000),18434
442,Demolition Man (1993),18307
11,American President, The (1995),18162
2324,Life Is Beautiful (La Vita è bella) (1997),18156
5989,Catch Me If You Can (2002),18002
104,Happy Gilmore (1996),17915
337,What's Eating Gilbert Grape (1993),17881
923,Citizen Kane (1941),17774
594,Snow White and the Seven Dwarfs (1937),17766
2000,Lethal Weapon (1987),17620
4011,Snatch (2000),17617
1127,Abyss, The (1989),17508
904,Rear Window (1954),17449
16,Casino (1995),17394
2700,South Park: Bigger, Longer and Uncut (1999),17371
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),17239
1391,Mars Attacks! (1996),17230
509,Piano, The (1993),17068
368,Maverick (1994),17062
1247,Graduate, The (1967),17039
2692,Run Lola Run (Lola rennt) (1998),17029
6365,Matrix Reloaded, The (2003),17003
1485,Liar Liar (1997),16832
2617,Mummy, The (1999),16761
353,Crow, The (1994),16524
2054,Honey, I Shrunk the Kids (1989),16510
3751,Chicken Run (2000),16472
5378,Star Wars: Episode II - Attack of the Clones (2002),16425
235,Ed Wood (1994),16419
4034,Traffic (2000),16379
3623,Mission: Impossible II (2000),16230
317,Santa Clause, The (1994),16183
266,Legends of the Fall (1994),16171
786,Eraser (1996),16135
1407,Scream (1996),16067
1288,This Is Spinal Tap (1984),16054
3977,Charlie's Angels (2000),15977
3408,Erin Brockovich (2000),15909
1374,Star Trek II: The Wrath of Khan (1982),15893
3481,High Fidelity (2000),15887
350,Client, The (1994),15833
1090,Platoon (1986),15808
3052,Dogma (1999),15753
6711,Lost in Translation (2003),15739
3948,Meet the Parents (2000),15713
8636,Spider-Man 2 (2004),15712
1380,Grease (1978),15630
908,North by Northwest (1959),15627
1370,Die Hard 2 (1990),15579
6333,X2: X-Men United (2003),15573
1304,Butch Cassidy and the Sundance Kid (1969),15558
1394,Raising Arizona (1987),15483
32587,Sin City (2005),15481
2194,Untouchables, The (1987),15442
1230,Annie Hall (1977),15383
1625,Game, The (1997),15373
555,True Romance (1993),15360
1676,Starship Troopers (1997),15341
1183,English Patient, The (1996),15330
2542,Lock, Stock & Two Smoking Barrels (1998),15325
1641,Full Monty, The (1997),15323
1252,Chinatown (1974),15310
708,Truth About Cats & Dogs, The (1996),15263
2268,Few Good Men, A (1992),15211
553,Tombstone (1993),15157
2640,Superman (1978),15089
1278,Young Frankenstein (1974),15087
1148,Wallace & Gromit: The Wrong Trousers (1993),15022
173,Judge Dredd (1995),14993
160,Congo (1995),14965
420,Beverly Hills Cop III (1994),14934
1234,Sting, The (1973),14926
1954,Rocky (1976),14865
1207,To Kill a Mockingbird (1962),14769
2712,Eyes Wide Shut (1999),14615
8360,Shrek 2 (2004),14564
3527,Predator (1987),14537
1544,Lost World: Jurassic Park, The (1997),14530
3949,Requiem for a Dream (2000),14515
1201,Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966),14496
1500,Grosse Pointe Blank (1997),14487
5816,Harry Potter and the Chamber of Secrets (2002),14469
520,Robin Hood: Men in Tights (1993),14439
920,Gone with the Wind (1939),14396
784,Cable Guy, The (1996),14379
44191,V for Vendetta (2006),14356
832,Ransom (1996),14347
163,Desperado (1995),14321
48516,Departed, The (2006),14309
2081,Little Mermaid, The (1989),14294
370,Naked Gun 33 1/3: The Final Insult (1994),14261
2353,Enemy of the State (1998),14217
497,Much Ado About Nothing (1993),14214
653,Dragonheart (1996),14192
1608,Air Force One (1997),14169
2985,RoboCop (1987),14157
3471,Close Encounters of the Third Kind (1977),14155
1266,Unforgiven (1992),14151
1552,Con Air (1997),14110
1028,Mary Poppins (1964),14096
903,Vertigo (1958),14094
953,It's a Wonderful Life (1946),14084
1035,Sound of Music, The (1965),14049
79132,Inception (2010),14023
1199,Brazil (1985),13957
2302,My Cousin Vinny (1992),13957
3175,Galaxy Quest (1999),13945
1639,Chasing Amy (1997),13933
435,Coneheads (1993),13911
2699,Arachnophobia (1990),13866
2395,Rushmore (1998),13780
2599,Election (1999),13756
196,Species (1995),13628
2321,Pleasantville (1998),13627
1233,Boot, Das (Boat, The) (1981),13612
485,Last Action Hero (1993),13577
3176,Talented Mr. Ripley, The (1999),13563
3994,Unbreakable (2000),13555
2406,Romancing the Stone (1984),13553
466,Hot Shots! Part Deux (1993),13521
1673,Boogie Nights (1997),13491
2657,Rocky Horror Picture Show, The (1975),13482
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),13466
1358,Sling Blade (1996),13451
8665,Bourne Supremacy, The (2004),13435
1320,Alien³ (a.k.a. Alien 3) (1992),13401
1777,Wedding Singer, The (1998),13384
1997,Exorcist, The (1973),13359
3081,Sleepy Hollow (1999),13162
8368,Harry Potter and the Prisoner of Azkaban (2004),13157
3253,Wayne's World (1992),13124
1376,Star Trek IV: The Voyage Home (1986),13098
2001,Lethal Weapon 2 (1989),13080
48,Pocahontas (1995),13046
2006,Mask of Zorro, The (1998),12999
7,Sabrina (1995),12961
3753,Patriot, The (2000),12946
6016,City of God (Cidade de Deus) (2002),12937
1203,12 Angry Men (1957),12934
2804,Christmas Story, A (1983),12934
552,Three Musketeers, The (1993),12901
1377,Batman Returns (1992),12841
432,City Slickers II: The Legend of Curly's Gold (1994),12819
596,Pinocchio (1940),12782
3,Grumpier Old Men (1995),12735
7147,Big Fish (2003),12719
70,From Dusk Till Dawn (1996),12712
172,Johnny Mnemonic (1995),12706
2529,Planet of the Apes (1968),12702
225,Disclosure (1994),12662
158,Casper (1995),12625
151,Rob Roy (1995),12616
2671,Notting Hill (1999),12588
1250,Bridge on the River Kwai, The (1957),12576
802,Phenomenon (1996),12539
5060,M*A*S*H (a.k.a. MASH) (1970),12528
4979,Royal Tenenbaums, The (2001),12513
1215,Army of Darkness (1993),12469
1408,Last of the Mohicans, The (1992),12419
1396,Sneakers (1992),12385
1204,Lawrence of Arabia (1962),12378
543,So I Married an Axe Murderer (1993),12348
1094,Crying Game, The (1992),12348
49272,Casino Royale (2006),12311
33493,Star Wars: Episode III - Revenge of the Sith (2005),12303
2470,Crocodile Dundee (1986),12297
6934,Matrix Revolutions, The (2003),12282
5669,Bowling for Columbine (2002),12280
1302,Field of Dreams (1989),12267
1242,Glory (1989),12266
3418,Thelma & Louise (1991),12258
236,French Kiss (1995),12215
494,Executive Decision (1996),12190
60069,WALL·E (2008),12176
6502,28 Days Later (2002),12170
5,Father of the Bride Part II (1995),12161
913,Maltese Falcon, The (1941),12144
1282,Fantasia (1940),12139
168,First Knight (1995),12084
745,Wallace & Gromit: A Close Shave (1995),12073
2890,Three Kings (1999),12045
4246,Bridget Jones's Diary (2001),11986
145,Bad Boys (1995),11975
265,Like Water for Chocolate (Como agua para chocolate) (1992),11975
59315,Iron Man (2008),11944
1722,Tomorrow Never Dies (1997),11907
112,Rumble in the Bronx (Hont faan kui) (1995),11890
2763,Thomas Crown Affair, The (1999),11879
46578,Little Miss Sunshine (2006),11878
2100,Splash (1984),11777
1748,Dark City (1998),11759
5218,Ice Age (2002),11713
342,Muriel's Wedding (1994),11690
805,Time to Kill, A (1996),11684
3160,Magnolia (1999),11684
8874,Shaun of the Dead (2004),11651
1876,Deep Impact (1998),11639
2572,10 Things I Hate About You (1999),11613
2019,Seven Samurai (Shichinin no samurai) (1954),11611
4308,Moulin Rouge (2001),11580
1729,Jackie Brown (1997),11557
58,Postman, The (Postino, Il) (1994),11549
3448,Good Morning, Vietnam (1987),11548
3033,Spaceballs (1987),11536
1909,X-Files: Fight the Future, The (1998),11469
1645,Devil's Advocate, The (1997),11458
2167,Blade (1998),11401
48394,Pan's Labyrinth (Laberinto del fauno, El) (2006),11399
1276,Cool Hand Luke (1967),11353
1275,Highlander (1986),11350
3421,Animal House (1978),11347
376,River Wild, The (1994),11294
2424,You've Got Mail (1998),11286
48780,Prestige, The (2006),11269
471,Hudsucker Proxy, The (1994),11268
282,Nell (1994),11249
2947,Goldfinger (1964),11240
186,Nine Months (1995),11222
2003,Gremlins (1984),11200
4370,A.I. Artificial Intelligence (2001),11196
628,Primal Fear (1996),11169
1674,Witness (1985),11164
315,Specialist, The (1994),11164
1333,Birds, The (1963),11160
2701,Wild Wild West (1999),11038
1088,Dirty Dancing (1987),11013
1092,Basic Instinct (1992),10998
1285,Heathers (1989),10991
333,Tommy Boy (1995),10962
529,Searching for Bobby Fischer (1993),10952
1690,Alien: Resurrection (1997),10932
910,Some Like It Hot (1959),10922
1262,Great Escape, The (1963),10904
1372,Star Trek VI: The Undiscovered Country (1991),10862
1375,Star Trek III: The Search for Spock (1984),10813
51662,300 (2007),10807
54286,Bourne Ultimatum, The (2007),10798
785,Kingpin (1996),10746
44,Mortal Kombat (1995),10697
56367,Juno (2007),10668
2407,Cocoon (1985),10666
515,Remains of the Day, The (1993),10661
1747,Wag the Dog (1997),10608
1466,Donnie Brasco (1997),10585
1263,Deer Hunter, The (1978),10572
852,Tin Cup (1996),10547
5502,Signs (2002),10532
969,African Queen, The (1951),10526
3671,Blazing Saddles (1974),10519
4085,Beverly Hills Cop (1984),10516
5995,Pianist, The (2002),10515
4262,Scarface (1983),10494
7143,Last Samurai, The (2003),10464
246,Hoop Dreams (1994),10432
2005,Goonies, The (1985),10401
783,Hunchback of Notre Dame, The (1996),10389
261,Little Women (1994),10367
1597,Conspiracy Theory (1997),10362
345,Adventures of Priscilla, Queen of the Desert, The (1994),10312
55820,No Country for Old Men (2007),10248
3911,Best in Show (2000),10246
661,James and the Giant Peach (1996),10228
899,Singin' in the Rain (1952),10219
4014,Chocolat (2000),10207
1059,William Shakespeare's Romeo + Juliet (1996),10195
5010,Black Hawk Down (2001),10192
5299,My Big Fat Greek Wedding (2002),10190
2455,Fly, The (1986),10174
2161,NeverEnding Story, The (1984),10169
2294,Antz (1998),10163
2023,Godfather: Part III, The (1990),10141
2105,Tron (1982),10076
252,I.Q. (1994),10074
2080,Lady and the Tramp (1955),10062
4720,Others, The (2001),10055
1293,Gandhi (1982),10028
3255,League of Their Own, A (1992),10026
1339,Dracula (Bram Stoker's Dracula) (1992),10022
2278,Ronin (1998),9987
1569,My Best Friend's Wedding (1997),9955
355,Flintstones, The (1994),9939
22,Copycat (1995),9928
673,Space Jam (1996),9917
40815,Harry Potter and the Goblet of Fire (2005),9908
256,Junior (1994),9890
3755,Perfect Storm, The (2000),9876
1060,Swingers (1996),9846
3101,Fatal Attraction (1987),9759
1371,Star Trek: The Motion Picture (1979),9758
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),9753
72998,Avatar (2009),9753
585,Brady Bunch Movie, The (1995),9713
1228,Raging Bull (1980),9711
914,My Fair Lady (1964),9707
2770,Bowfinger (1999),9667
8644,I, Robot (2004),9666
45722,Pirates of the Caribbean: Dead Man's Chest (2006),9657
105,Bridges of Madison County, The (1995),9620
35836,40-Year-Old Virgin, The (2005),9588
6378,Italian Job, The (2003),9574
3000,Princess Mononoke (Mononoke-hime) (1997),9564
3717,Gone in 60 Seconds (2000),9543
1084,Bonnie and Clyde (1967),9533
762,Striptease (1996),9526
5679,Ring, The (2002),9518
902,Breakfast at Tiffany's (1961),9499
8784,Garden State (2004),9454
68157,Inglourious Basterds (2009),9447
31,Dangerous Minds (1995),9435
5377,About a Boy (2002),9401
2273,Rush Hour (1998),9388
5902,Adaptation (2002),9383
52,Mighty Aphrodite (1995),9320
4848,Mulholland Drive (2001),9307
68954,Up (2009),9264
1249,Femme Nikita, La (Nikita) (1990),9227
2193,Willow (1988),9217
63082,Slumdog Millionaire (2008),9208
1921,Pi (1998),9204
3039,Trading Places (1983),9191
30707,Million Dollar Baby (2004),9159
6373,Bruce Almighty (2003),9159
1562,Batman & Robin (1997),9144
198,Strange Days (1995),9143
1343,Cape Fear (1991),9141
277,Miracle on 34th Street (1994),9140
3499,Misery (1990),9136
1287,Ben-Hur (1959),9106
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),9100
475,In the Name of the Father (1993),9083
2248,Say Anything... (1989),9082
4025,Miss Congeniality (2000),9075
6863,School of Rock (2003),9071
2539,Analyze This (1999),9052
2021,Dune (1984),9039
1120,People vs. Larry Flynt, The (1996),9028
1994,Poltergeist (1982),9026
2336,Elizabeth (1998),9009
1267,Manchurian Candidate, The (1962),8988
48774,Children of Men (2006),8969
33166,Crash (2004),8967
3256,Patriot Games (1992),8961
1022,Cinderella (1950),8954
1029,Dumbo (1941),8951
2694,Big Daddy (1999),8949
431,Carlito's Way (1993),8946
45,To Die For (1995),8933
1129,Escape from New York (1981),8891
2076,Blue Velvet (1986),8875
1271,Fried Green Tomatoes (1991),8868
4447,Legally Blonde (2001),8859
3552,Caddyshack (1980),8832
2002,Lethal Weapon 3 (1992),8832
3702,Mad Max (1979),8825
3006,Insider, The (1999),8802
2150,Gods Must Be Crazy, The (1980),8794
7254,The Butterfly Effect (2004),8764
3703,Road Warrior, The (Mad Max 2) (1981),8756
1405,Beavis and Butt-Head Do America (1996),8752
1061,Sleepers (1996),8740
50872,Ratatouille (2007),8727
6942,Love Actually (2003),8716
3785,Scary Movie (2000),8706
2078,Jungle Book, The (1967),8694
2058,Negotiator, The (1998),8680
6807,Monty Python's The Meaning of Life (1983),8665
2968,Time Bandits (1981),8595
3535,American Psycho (2000),8593
1367,101 Dalmatians (1996),8581
224,Don Juan DeMarco (1995),8581
1953,French Connection, The (1971),8571
1345,Carrie (1976),8569
2288,Thing, The (1982),8557
2580,Go (1999),8554
4018,What Women Want (2000),8554
216,Billy Madison (1995),8547
724,Craft, The (1996),8538
2541,Cruel Intentions (1999),8529
4643,Planet of the Apes (2001),8524
1047,Long Kiss Goodnight, The (1996),8522
29,City of Lost Children, The (Cité des enfants perdus, La) (1995),8520
1918,Lethal Weapon 4 (1998),8505
1947,West Side Story (1961),8492
5991,Chicago (2002),8485
6537,Terminator 3: Rise of the Machines (2003),8479
2871,Deliverance (1972),8478
6870,Mystic River (2003),8467
3082,World Is Not Enough, The (1999),8462
455,Free Willy (1993),8453
2144,Sixteen Candles (1984),8453
4571,Bill & Ted's Excellent Adventure (1989),8420
30749,Hotel Rwanda (2004),8416
5481,Austin Powers in Goldmember (2002),8415
2761,Iron Giant, The (1999),8407
180,Mallrats (1995),8400
8464,Super Size Me (2004),8375
3489,Hook (1991),8362
2746,Little Shop of Horrors (1986),8347
204,Under Siege 2: Dark Territory (1995),8335
1042,That Thing You Do! (1996),8327
1274,Akira (1988),8324
4975,Vanilla Sky (2001),8318
1962,Driving Miss Daisy (1989),8317
1967,Labyrinth (1986),8305
5464,Road to Perdition (2002),8284
4718,American Pie 2 (2001),8268
1513,Romy and Michele's High School Reunion (1997),8252
2723,Mystery Men (1999),8239
2427,Thin Red Line, The (1998),8238
2420,Karate Kid, The (1984),8234
2490,Payback (1999),8232
2124,Addams Family, The (1991),8218
2605,Entrapment (1999),8202
4310,Pearl Harbor (2001),8198
8622,Fahrenheit 9/11 (2004),8179
720,Wallace & Gromit: The Best of Aardman Animation (1996),8171
2724,Runaway Bride (1999),8159
1272,Patton (1970),8157
3752,Me, Myself & Irene (2000),8134
4776,Training Day (2001),8087
2717,Ghostbusters II (1989),8079
2641,Superman II (1980),8076
1244,Manhattan (1979),8066
1235,Harold and Maude (1971),8066
2393,Star Trek: Insurrection (1998),8052
1357,Shine (1996),8043
348,Bullets Over Broadway (1994),8038
70286,District 9 (2009),8038
441,Dazed and Confused (1993),8035
968,Night of the Living Dead (1968),8029
3275,Boondock Saints, The (2000),8027
849,Escape from L.A. (1996),8026
3863,Cell, The (2000),8023
4361,Tootsie (1982),8015
372,Reality Bites (1994),8010
1663,Stripes (1981),8001
2140,Dark Crystal, The (1982),7980
24,Powder (1995),7971
3210,Fast Times at Ridgemont High (1982),7968
1907,Mulan (1998),7941
838,Emma (1996),7938
1231,Right Stuff, The (1983),7902
2915,Risky Business (1983),7902
1479,Saint, The (1997),7896
8798,Collateral (2004),7895
647,Courage Under Fire (1996),7893
2908,Boys Don't Cry (1999),7893
616,Aristocats, The (1970),7892
1912,Out of Sight (1998),7885
170,Hackers (1995),7875
272,Madness of King George, The (1994),7871
1884,Fear and Loathing in Las Vegas (1998),7852
2289,Player, The (1992),7846
610,Heavy Metal (1981),7845
1032,Alice in Wonderland (1951),7842
3510,Frequency (2000),7836
1261,Evil Dead II (Dead by Dawn) (1987),7788
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),7784
1223,Grand Day Out with Wallace and Gromit, A (1989),7781
3107,Backdraft (1991),7750
3108,Fisher King, The (1991),7729
3174,Man on the Moon (1999),7718
34405,Serenity (2005),7716
2020,Dangerous Liaisons (1988),7710
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),7699
1027,Robin Hood: Prince of Thieves (1991),7695
68358,Star Trek (2009),7690
4270,Mummy Returns, The (2001),7686
247,Heavenly Creatures (1994),7681
1093,Doors, The (1991),7681
2160,Rosemary's Baby (1968),7665
719,Multiplicity (1996),7664
51255,Hot Fuzz (2007),7659
1188,Strictly Ballroom (1992),7657
69122,Hangover, The (2009),7656
524,Rudy (1993),7630
362,Jungle Book, The (1994),7629
3967,Billy Elliot (2000),7581
3916,Remember the Titans (2000),7562
3624,Shanghai Noon (2000),7550
8949,Sideways (2004),7532
3386,JFK (1991),7527
30793,Charlie and the Chocolate Factory (2005),7518
4816,Zoolander (2001),7499
1805,Wild Things (1998),7494
3363,American Graffiti (1973),7485
2826,13th Warrior, The (1999),7478
1321,American Werewolf in London, An (1981),7476
193,Showgirls (1995),7464
1831,Lost in Space (1998),7463
531,Secret Garden, The (1993),7459
3072,Moonstruck (1987),7458
1347,Nightmare on Elm Street, A (1984),7450
2881,Double Jeopardy (1999),7448
1373,Star Trek V: The Final Frontier (1989),7427
273,Mary Shelley's Frankenstein (Frankenstein) (1994),7424
1644,I Know What You Did Last Summer (1997),7418
3252,Scent of a Woman (1992),7414
44195,Thank You for Smoking (2006),7412
2501,October Sky (1999),7378
1882,Godzilla (1998),7373
2064,Roger & Me (1989),7371
468,Englishman Who Went Up a Hill But Came Down a Mountain, The (1995),7347
4239,Blow (2001),7341
3868,Naked Gun: From the Files of Police Squad!, The (1988),7338
6218,Bend It Like Beckham (2002),7308
3617,Road Trip (2000),7292
230,Dolores Claiborne (1995),7284
7090,Hero (Ying xiong) (2002),7267
2018,Bambi (1942),7257
306,Three Colors: Red (Trois couleurs: Rouge) (1994),7252
2722,Deep Blue Sea (1999),7248
2145,Pretty in Pink (1986),7239
2581,Never Been Kissed (1999),7237
3826,Hollow Man (2000),7228
800,Lone Star (1996),7196
4223,Enemy at the Gates (2001),7185
2949,Dr. No (1962),7183
2948,From Russia with Love (1963),7182
319,Shallow Grave (1994),7180
327,Tank Girl (1995),7159
3300,Pitch Black (2000),7154
1299,Killing Fields, The (1984),7150
2944,Dirty Dozen, The (1967),7140
4367,Lara Croft: Tomb Raider (2001),7131
41566,Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005),7112
1186,Sex, Lies, and Videotape (1989),7099
34162,Wedding Crashers (2005),7096
3247,Sister Act (1992),7095
1960,Last Emperor, The (1987),7078
3361,Bull Durham (1988),7077
2087,Peter Pan (1953),7075
741,Ghost in the Shell (Kôkaku kidôtai) (1995),7072
1175,Delicatessen (1991),7059
3362,Dog Day Afternoon (1975),7045
2108,L.A. Story (1991),7039
4002,Planes, Trains & Automobiles (1987),7024
5956,Gangs of New York (2002),7023
4148,Hannibal (2001),7018
4321,City Slickers (1991),7008
1037,Lawnmower Man, The (1992),7006
2094,Rocketeer, The (1991),6994
2109,Jerk, The (1979),6950
303,Quick and the Dead, The (1995),6945
1269,Arsenic and Old Lace (1944),6894
2953,Home Alone 2: Lost in New York (1992),6880
49530,Blood Diamond (2006),6878
1717,Scream 2 (1997),6872
3148,Cider House Rules, The (1999),6861
1680,Sliding Doors (1998),6854
1077,Sleeper (1973),6853
2707,Arlington Road (1999),6821
2313,Elephant Man, The (1980),6813
3396,Muppet Movie, The (1979),6793
3555,U-571 (2000),6791
4369,Fast and the Furious, The (2001),6789
5266,Panic Room (2002),6773
1911,Dr. Dolittle (1998),6762
2231,Rounders (1998),6759
1378,Young Guns (1988),6755
5903,Equilibrium (2002),6751
1957,Chariots of Fire (1981),6721
1587,Conan the Barbarian (1982),6713
3105,Awakenings (1990),6711
6947,Master and Commander: The Far Side of the World (2003),6704
1586,G.I. Jane (1997),6692
1590,Event Horizon (1997),6687
8970,Finding Neverland (2004),6686
1179,Grifters, The (1990),6685
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),6676
54503,Superbad (2007),6670
4638,Jurassic Park III (2001),6668
2352,Big Chill, The (1983),6650
2366,King Kong (1933),6627
3698,Running Man, The (1987),6624
33679,Mr. & Mrs. Smith (2005),6617
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),6610
3301,Whole Nine Yards, The (2000),6606
