genres,count
Action|Adventure|Animation|Sci-Fi,6
Action|Drama|Mystery,6
Adventure|Drama|Romance|War,6
Adventure|Sci-Fi|Thriller,6
Action|Adventure|Crime,6
Crime|Drama|Western,6
Drama|Fantasy|War,6
Comedy|Crime|Musical,6
Horror|Romance|Thriller,6
Comedy|Drama|Romance|Thriller,6
Action|Children|Comedy,6
Children|Drama|Romance,6
Action|Romance|Thriller,6
Action|Crime|Mystery,6
Action|Drama|Romance|Thriller,6
Documentary|Thriller,5
Drama|Fantasy|Thriller,5
Adventure|Comedy|Drama|Romance,5
Action|Comedy|Horror|Thriller,5
Adventure|Horror|Sci-Fi,5
Comedy|Crime|Mystery|Romance,5
Action|Drama|Romance|Western,5
Comedy|Horror|Musical,5
Action|Comedy|Fantasy|Horror,5
Action|Adventure|Sci-Fi|Thriller|IMAX,5
Adventure|Documentary|Drama,5
Drama|Film-Noir|Romance,5
Action|Comedy|Drama|Thriller,5
Action|Comedy|Crime|Romance,5
Action|Drama|Horror|Sci-Fi|Thriller,5
Action|Animation|Crime,5
Crime|Romance|Thriller,5
Children|Musical,5
Adventure|Comedy|Western,5
Adventure|Comedy|Thriller,5
Comedy|Drama|Western,5
Action|Adventure|Fantasy|IMAX,5
Action|Adventure|Comedy|Drama,5
Action|Adventure|Comedy|Western,5
Action|Mystery,5
Adventure|Animation|Children|Drama|Fantasy,5
Drama|Horror|Mystery|Romance|Thriller,5
Action|Adventure|Drama|Sci-Fi|Thriller,5
Action|Horror|Mystery|Thriller,5
Action|Adventure|Drama|Sci-Fi,5
Action|Animation|Drama|Sci-Fi,5
Action|Adventure|Children,5
Mystery|Sci-Fi,5
Adventure|Animation|Children|Fantasy|Musical,5
Action|Adventure|Crime|Drama,5
Comedy|Fantasy|Sci-Fi,5
Adventure|Thriller,5
Comedy|Drama|Romance|Sci-Fi,5
Comedy|Sci-Fi|Thriller,5
Adventure|Children|Fantasy|Sci-Fi,5
Adventure|Fantasy|IMAX,5
Crime|Horror|Sci-Fi,5
Fantasy|Horror|Mystery|Thriller,5
Comedy|Mystery|Romance,5
Comedy|Crime|Horror|Mystery|Thriller,5
Action|Adventure|Drama|Western,5
Documentary|Romance,4
Action|Mystery|Sci-Fi,4
Romance|War,4
Comedy|Crime|Horror,4
Drama|Film-Noir|Mystery|Romance,4
Action|Sci-Fi|War,4
Action|Adventure|Comedy|War,4
Drama|Film-Noir|Mystery|Thriller,4
Adventure|Comedy|Horror,4
Comedy|Fantasy|Mystery,4
Action|Drama|Horror,4
Comedy|Fantasy|Musical|Romance,4
Adventure|Horror|Thriller,4
Comedy|Romance|War,4
Adventure|Musical,4
Children|Sci-Fi,4
Action|Drama|Horror|Thriller,4
Adventure|Comedy|Crime|Romance,4
Adventure|Animation|Children|Comedy|IMAX,4
Adventure|Animation|Children|Comedy|Musical,4
Fantasy|Musical,4
Adventure|Animation|Children|Drama,4
Drama|Horror|Mystery|Sci-Fi|Thriller,4
Adventure|Animation|Sci-Fi,4
Children|Comedy|Fantasy|Musical,4
Action|Crime|Horror,4
Adventure|Children|Fantasy|Musical,4
Crime|Film-Noir|Mystery,4
Adventure|War|Western,4
Animation|Drama|War,4
Animation|Children|Drama,4
Fantasy|Horror|Sci-Fi|Thriller,4
Adventure|Animation|Drama,4
Action|Adventure|Comedy|Crime|Thriller,4
Crime|Drama|Sci-Fi|Thriller,4
Action|Comedy|Musical,4
Crime|Drama|Thriller|War,4
Crime|Drama|Film-Noir|Romance|Thriller,4
Drama|Horror|War,4
Comedy|Musical|Sci-Fi,4
Horror|Musical,4
Action|Adventure|Horror|Thriller,4
Action|Adventure|Children|Comedy|Fantasy,4
Action|Adventure|Horror,4
Action|Crime|Drama|Romance|Thriller,4
Action|Adventure|Fantasy|Romance,4
Action|Adventure|Animation|Children|Comedy|Fantasy,4
Comedy|Drama|Horror|Thriller,4
Film-Noir|Mystery|Thriller,4
Crime|Western,4
Drama|Fantasy|Musical,4
Action|Crime|Romance|Thriller,4
Action|Fantasy|Thriller,4
Action|Crime|Sci-Fi,4
Documentary|Drama|Musical,4
Action|Adventure|Drama|Thriller|War,4
Action|Animation|Horror,4
Drama|Fantasy|Romance|Sci-Fi,4
Action|Drama|Mystery|Thriller,4
Action|Comedy|Romance|Thriller,3
Crime|Drama|Film-Noir|Mystery|Thriller,3
Action|Comedy|Documentary,3
Crime|Documentary|Drama,3
Action|Comedy|War,3
Crime|Mystery|Romance|Thriller,3
Documentary|Drama|Romance,3
Horror|Romance|Sci-Fi,3
Documentary|Drama|Sci-Fi,3
Comedy|War|Western,3
Documentary|Drama|Thriller,3
Documentary|Fantasy,3
Action|Crime|Drama|Romance,3
Documentary|Musical|IMAX,3
Action|Crime|Drama|Sci-Fi|Thriller,3
Horror|Thriller|Western,3
Action|Crime|Fantasy,3
Action|Crime|Film-Noir,3
Horror|War,3
Animation|Comedy|Romance,3
Action|Children,3
Horror|Western,3
Drama|Fantasy|Horror|Romance,3
Action|Crime|Mystery|Sci-Fi|Thriller,3
Drama|Fantasy|Horror|Thriller,3
Drama|Fantasy|Musical|Romance,3
Action|Crime|Thriller|IMAX,3
Fantasy|Musical|Romance,3
Action|Crime|Western,3
Drama|Fantasy|Romance|Thriller,3
Comedy|Horror|Mystery|Sci-Fi,3
Comedy|Fantasy|Thriller,3
Action|Adventure|Comedy|Drama|War,3
Musical|Sci-Fi,3
Action|Animation|Children|Crime,3
Action|Animation|Children|Comedy,3
Drama|Horror|Romance|Thriller,3
Action|Adventure|Animation|Children|Fantasy,3
Action|Adventure|Thriller|War,3
Action|Adventure|Thriller|IMAX,3
Action|Adventure|Sci-Fi|Western,3
Action|Adventure|Romance|War,3
War|Western,3
Action|Drama|Thriller|Western,3
Drama|IMAX,3
Action|Adventure|Comedy|Fantasy|Romance,3
Action|Adventure|Horror|Sci-Fi,3
Action|Adventure|Fantasy|Thriller,3
Action|Adventure|Fantasy|Mystery,3
Drama|Romance|Sci-Fi|Thriller,3
Comedy|Drama|Horror|Sci-Fi,3
Comedy|Drama|Fantasy|Sci-Fi,3
Comedy|Drama|Fantasy|Mystery,3
Action|Adventure|Animation|Children|Fantasy|Sci-Fi,3
Comedy|Documentary|Romance,3
Action|Adventure|Drama|Romance|Thriller,3
Action|Adventure|Drama|Mystery|Thriller,3
Adventure|Crime|Drama|Thriller,3
Adventure|Crime|Thriller,3
Drama|Sci-Fi|War,3
Comedy|Crime|Horror|Thriller,3
Adventure|Drama|Horror,3
Action|Romance|Sci-Fi|Thriller,3
Adventure|Drama|IMAX,3
Adventure|Comedy|War,3
Action|Sci-Fi|IMAX,3
Action|Adventure|Comedy|Thriller,3
Adventure|Drama|Romance|Western,3
Adventure|Comedy|Musical|Romance,3
Action|War|Western,3
Adventure|Comedy|Fantasy|Sci-Fi,3
Adventure|Horror,3
Comedy|Crime|Drama|Mystery|Romance,3
Comedy|Crime|Drama|Musical,3
Adventure|Mystery,3
Adventure|Comedy|Documentary,3
Adventure|Animation|Children|Comedy|Fantasy|IMAX,3
Adventure|Animation|Children|Comedy|Fantasy|Romance,3
Children|Fantasy|Sci-Fi,3
Adventure|Romance|Sci-Fi,3
Adventure|Comedy|Crime|Fantasy,3
Adventure|Romance|War,3
Children|Comedy|Mystery,3
Adventure|Comedy|Crime|Drama,3
Children|Comedy|Fantasy|Romance,3
Adventure|Children|Musical,3
Children|Comedy|Drama|Musical,3
Adventure|Animation|Fantasy|Sci-Fi,3
Children|Comedy|Crime,3
Adventure|Animation|Children|Sci-Fi,3
Animation|Children|Comedy|Romance,3
Adventure|Animation|Comedy|Fantasy|Romance,3
Fantasy|Horror|Sci-Fi,3
Action|Comedy|Horror|Sci-Fi,3
Action|Adventure|Animation|Children|Comedy|Sci-Fi,3
Crime|Drama|War,3
Animation|Children|Fantasy|Romance,3
Adventure|Fantasy|Horror,2
Action|Adventure|Animation|Comedy|Sci-Fi,2
Action|Adventure|Animation|Crime|Fantasy,2
Action|Adventure|Animation|Drama|Fantasy,2
Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,2
Action|Adventure|Children|Comedy|Sci-Fi,2
Action|Adventure|Children|IMAX,2
Action|Adventure|Comedy|Drama|Romance,2
Action|Adventure|Comedy|Drama|Thriller,2
Action|Adventure|Comedy|Fantasy|Horror|Thriller,2
Action|Adventure|Comedy|Romance|Thriller,2
Action|Adventure|Comedy|Sci-Fi|Thriller,2
Action|Adventure|Crime|Drama|Mystery|Thriller,2
Action|Adventure|Crime|Drama|Romance,2
Action|Adventure|Crime|Drama|Western,2
Action|Adventure|Crime|Mystery|Thriller,2
Action|Adventure|Crime|Sci-Fi|Thriller,2
Action|Adventure|Documentary,2
Action|Adventure|Drama|Fantasy|Mystery|IMAX,2
Action|Adventure|Drama|Fantasy|Romance,2
Action|Adventure|Drama|Fantasy|Thriller,2
Action|Adventure|Drama|Musical|Romance|Thriller|War,2
Action|Adventure|Drama|Thriller|IMAX,2
Action|Adventure|Drama|Thriller|Western,2
Action|Adventure|Horror|Sci-Fi|Thriller,2
Action|Adventure|IMAX,2
Action|Adventure|Mystery|Thriller,2
Action|Adventure|Romance|Thriller,2
Action|Adventure|Sci-Fi|Thriller|War,2
Action|Animation|Children|Sci-Fi,2
Action|Animation|Comedy|Crime|Drama|Mystery|Romance|Thriller,2
Action|Animation|Comedy|Horror,2
Action|Animation|Comedy|Sci-Fi,2
Action|Animation|Crime|Sci-Fi|Thriller,2
Action|Animation|Drama,2
Action|Animation|Drama|War,2
Action|Animation|Sci-Fi|War,2
Action|Children|Drama,2
Action|Children|Fantasy,2
Action|Comedy|Crime|Fantasy,2
Action|Comedy|Drama|Musical|Romance,2
Action|Comedy|Drama|Western,2
Action|Comedy|Romance|War,2
Action|Comedy|Romance|Western,2
Action|Crime|Drama|Horror,2
Action|Crime|Drama|Horror|Thriller,2
Action|Crime|Drama|IMAX,2
Action|Crime|Drama|War,2
Action|Crime|Mystery|Romance|Thriller,2
Action|Crime|Romance,2
Action|Crime|Sci-Fi|Thriller,2
Action|Drama|Fantasy|Horror,2
Action|Drama|Horror|Mystery,2
Action|Drama|Mystery|Sci-Fi|Thriller,2
Action|Drama|Romance|Sci-Fi,2
Action|Drama|Sci-Fi|IMAX,2
Action|Drama|Thriller|IMAX,2
Action|Drama|War|IMAX,2
Action|Drama|War|Western,2
Action|Fantasy|Horror|IMAX,2
Action|Fantasy|Romance,2
Action|Fantasy|Sci-Fi|IMAX,2
Action|Fantasy|Western,2
Action|Horror|Mystery|Sci-Fi,2
Action|Horror|Sci-Fi|IMAX,2
Action|Horror|Sci-Fi|Thriller|IMAX,2
Action|Romance|Sci-Fi,2
Action|Sci-Fi|Thriller|Western,2
Action|Thriller|Western,2
Adventure|Animation|Children|Comedy|Sci-Fi,2
Adventure|Animation|Children|Fantasy|IMAX,2
Adventure|Animation|Children|Fantasy|Musical|Romance,2
Adventure|Animation|Comedy|Fantasy,2
Adventure|Animation|Comedy|Sci-Fi,2
Adventure|Animation|Drama|Fantasy|Sci-Fi,2
Adventure|Animation|Drama|Romance|War,2
Adventure|Animation|Drama|Sci-Fi|War,2
Adventure|Animation|Fantasy|IMAX,2
Adventure|Animation|Fantasy|Romance,2
Adventure|Animation|Romance,2
Adventure|Children|Comedy|Fantasy|Musical,2
Adventure|Children|Comedy|Fantasy|Romance,2
Adventure|Children|Comedy|Musical,2
Adventure|Children|Comedy|Mystery,2
Adventure|Children|Drama|Fantasy,2
Adventure|Children|Drama|Fantasy|IMAX,2
Adventure|Children|Romance,2
Adventure|Comedy|Crime|Drama|Mystery|Thriller,2
Adventure|Comedy|Crime|Thriller,2
Adventure|Comedy|Drama|Fantasy,2
Adventure|Comedy|Drama|War,2
Adventure|Comedy|Fantasy|Horror,2
Adventure|Comedy|Fantasy|Romance,2
Adventure|Comedy|Romance|War,2
Adventure|Comedy|Sci-Fi|Western,2
Adventure|Crime|Documentary,2
Adventure|Crime|Drama|Romance|Thriller,2
Adventure|Crime|Horror,2
Adventure|Documentary|IMAX,2
Adventure|Drama|Fantasy|Romance,2
Adventure|Drama|Horror|Mystery,2
Adventure|Drama|Horror|Mystery|Thriller,2
Adventure|Drama|Horror|Thriller,2
Adventure|Drama|Mystery,2
Adventure|Drama|Romance|Thriller,2
Adventure|Drama|War|Western,2
Adventure|Fantasy|Musical|Romance,2
Adventure|Fantasy|Romance|Sci-Fi,2
Adventure|Fantasy|Thriller,2
Adventure|Horror|Mystery|Thriller,2
Adventure|Musical|Romance,2
Adventure|Romance|Thriller,2
Animation|Children|Comedy|Crime,2
Animation|Children|Comedy|Drama,2
Animation|Children|Comedy|Drama|Fantasy,2
Animation|Children|Comedy|Fantasy|Musical,2
Animation|Children|Comedy|IMAX,2
Animation|Children|Drama|Fantasy,2
Animation|Children|Drama|Musical|Romance,2
Animation|Children|Fantasy|Musical|Romance,2
Animation|Children|Fantasy|Mystery,2
Animation|Children|Musical|Romance,2
Animation|Comedy|Drama|Fantasy,2
Animation|Comedy|Drama|Fantasy|Sci-Fi,2
Animation|Comedy|Fantasy|Musical,2
Animation|Comedy|Fantasy|Sci-Fi,2
Animation|Drama|Mystery|Sci-Fi|Thriller,2
Animation|Drama|Romance|Sci-Fi,2
Animation|Fantasy|Horror|Sci-Fi,2
Animation|Fantasy|Mystery,2
Animation|Fantasy|Thriller,2
Animation|War,2
Children|Comedy|Drama|Fantasy,2
Children|Comedy|Fantasy|Horror,2
Children|Comedy|Fantasy|Sci-Fi,2
Children|Comedy|Musical|Romance,2
Children|Comedy|Western,2
Children|Crime|Drama,2
Children|Documentary,2
Children|Drama|Sci-Fi,2
Children|Fantasy|Musical|Romance,2
Children|Musical|Mystery,2
Children|Musical|Romance,2
Children|Western,2
Action|Adventure|Animation|Children|Sci-Fi,2
Comedy|Crime|Drama|Romance|Thriller,2
Comedy|Crime|Drama|War,2
Comedy|Crime|Drama|Western,2
Comedy|Crime|Fantasy,2
Comedy|Crime|Romance|Thriller,2
Comedy|Drama|Fantasy|Musical,2
Comedy|Drama|Fantasy|Musical|Romance,2
Comedy|Drama|Fantasy|Mystery|Romance,2
Comedy|Drama|Horror|Sci-Fi|Thriller,2
Comedy|Drama|Musical|Mystery,2
Comedy|Drama|Romance|Western,2
Comedy|Fantasy|Horror|Thriller,2
Comedy|Horror|Musical|Sci-Fi,2
Comedy|Musical|Romance|Western,2
Comedy|Musical|War,2
Comedy|Romance|Sci-Fi|Thriller,2
Crime|Documentary|Mystery,2
Crime|Documentary|War,2
Crime|Drama|Fantasy,2
Crime|Drama|Horror|Mystery,2
Crime|Drama|Musical,2
Crime|Drama|Mystery|Romance,2
Crime|Drama|Mystery|Thriller|War,2
Crime|Film-Noir|Mystery|Romance|Thriller,2
Crime|Horror|Mystery|Sci-Fi,2
Crime|Musical,2
Crime|Romance,2
Crime|Sci-Fi,2
Crime|Sci-Fi|Thriller,2
Crime|Thriller|Western,2
Action|Adventure|Animation|Children|Comedy|IMAX,2
Drama|Fantasy|Horror|Mystery,2
Drama|Fantasy|Mystery|Sci-Fi,2
Drama|Fantasy|Mystery|Thriller,2
Drama|Film-Noir|Romance|Thriller,2
Drama|Horror|Musical|Thriller,2
Drama|Musical|Romance|War,2
Drama|Musical|Thriller,2
Drama|Mystery|Western,2
Drama|Romance|War|Western,2
Drama|Sci-Fi|IMAX,2
Drama|War|Western,2
Fantasy|Horror|Romance|Thriller,2
Fantasy|Mystery,2
Fantasy|Mystery|Romance|Thriller,2
Fantasy|Mystery|Thriller,2
Fantasy|Romance|Sci-Fi,2
Fantasy|Western,2
Film-Noir|Horror|Thriller,2
Film-Noir|Mystery,2
Horror|IMAX,2
Musical|Romance|War,2
Musical|Romance|Western,2
Mystery|Romance|Western,2
Romance|Sci-Fi|Thriller,2
Thriller|Western,2
Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX,1
Animation|Children|Comedy|Fantasy|Sci-Fi,1
Animation|Children|Comedy|Horror,1
Action|Adventure|Animation|Crime|Sci-Fi,1
Adventure|Children|Comedy|IMAX,1
Animation|Children|Comedy|Musical|Romance,1
Animation|Children|Comedy|Musical|Sci-Fi,1
Animation|Children|Comedy|Musical|Western,1
Adventure|Children|Comedy|Fantasy|Sci-Fi,1
Animation|Children|Comedy|Western,1
Adventure|Children|Comedy|Fantasy|Mystery,1
Sci-Fi|IMAX,1
Animation|Children|Drama|Fantasy|IMAX,1
Animation|Children|Drama|Fantasy|Musical,1
Animation|Children|Drama|Musical,1
Fantasy|Mystery|Sci-Fi,1
Adventure|Children|Comedy|Fantasy|IMAX,1
Animation|Children|Fantasy|IMAX,1
Adventure|Children|Comedy|Fantasy|Horror,1
Fantasy|Mystery|Sci-Fi|Thriller,1
Animation|Children|Fantasy|Musical|Romance|IMAX,1
Fantasy|Mystery|Sci-Fi|War,1
Adventure|Children|Comedy|Drama|Fantasy,1
Animation|Children|Fantasy|Sci-Fi,1
Animation|Children|Fantasy|War,1
Adventure|Children|Comedy|Documentary|Drama,1
Animation|Children|Musical|IMAX,1
Action|Adventure|Animation|Comedy|Thriller,1
Animation|Children|Mystery,1
Animation|Children|Romance,1
Animation|Children|Sci-Fi,1
Adventure|Animation|Horror|Sci-Fi|Thriller,1
Adventure|Animation|Fantasy|Musical|Sci-Fi,1
Fantasy|Mystery|Western,1
Action|Adventure|Crime|Drama|Romance|Thriller,1
Animation|Comedy|Drama|Musical,1
Animation|Comedy|Drama|Mystery,1
Animation|Comedy|Drama|Romance,1
Animation|Comedy|Drama|Romance|Sci-Fi,1
Adventure|Animation|Fantasy|Musical,1
Sci-Fi|Thriller|IMAX,1
Animation|Comedy|Fantasy|Musical|Romance,1
Fantasy|Romance|Thriller,1
Animation|Comedy|Horror,1
Animation|Comedy|Horror|IMAX,1
Animation|Comedy|Horror|Musical,1
Adventure|Animation|Drama|Sci-Fi,1
Animation|Comedy|Musical|Romance,1
Animation|Comedy|Mystery,1
Adventure|Animation|Drama|Mystery|Sci-Fi,1
Adventure|Animation|Drama|Horror,1
Animation|Comedy|Sci-Fi|War,1
Animation|Comedy|Thriller,1
Animation|Comedy|War,1
Animation|Crime|Drama,1
Animation|Crime|Drama|Horror|Mystery,1
Animation|Crime|Mystery,1
Animation|Crime|Mystery|Sci-Fi|Thriller,1
Animation|Crime|War,1
